track_id,name,new_artist,row_index
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,951
4RC2nzqaQygxoVQOVv3XlT,Contatinho - Ao Vivo,Leo Santana,952
0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",DJ Patrick Muniz,953
2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,Guilherme & Benuto,954
7LRmDx4pMTQuOBBwRT1MCT,Don't Rush (feat. Headie One),Young T & Bugsey,955
26vo1FuxIs0rINePq3lOx8,最偉大的作品,Jay Chou,956
6TWPTr6DdDpjkf9wYkHz8v,truth,ARASHI,957
60nwK1iMgnFCznF6FiNfts,青春コンプレックス,結束バンド,958
4n6NDfYake476trCjJRNl0,1 0 0 . m i l ‘ (with Bas),J. Cole,959
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),24kGoldn,960
7oySelE0Cb5q1TBBSPZJT2,Si Me Tomo una Cerveza - Remix,Migrantes,961
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),ATB,962
04MLEeAMuV9IlHEsD8vF6A,No Stylist (feat. Drake),French Montana,963
4heFQCyiW0RUEX1Q1lb008,Different World (feat. CORSAK),Alan Walker,964
3OC84eKMxRJ4x0Hcwl9i4i,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,965
3Hw5UuPArZWxOQUu6tYdf1,膠 on! (膠戰S2 主題曲),6膠,966
4m7rMUs8e9MkjnISxvWg7x,X Ti Ya No,Cesia Sáenz,967
0MP1URfhXWBOtEmeV32SxU,Baby I'm a star,NiziU,968
0FOVGBW0RpVRuDuUuN4ZVw,ヨワネハキ,MAISONdes,969
185Wm4Mx09dQG0fUktklDm,ラブレター,YOASOBI,970
2T7ZvJAtL7xK04ww5rbmvo,世界の秘密,Vaundy,971
1NbGcdgwRHZ5rbPIT9hdR3,Dance To This (feat. Ariana Grande),Troye Sivan,972
7E3YAVF3A7Shm7w2p3Np1Z,Aşk Şarkısı - Live,Şanışer,973
60DHrnRAhNJMy4WeEf23NH,Butakera,La Joaqui,974
222B3aljXx6fFwKmFjuBED,Woman Like Me (feat. Nicki Minaj),Little Mix,975
4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,976
1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),Taylor Swift,977
3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,Gusttavo Lima,978
3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),Anitta,979
0SVsEdvot6vU4byv5yW0oj,That’s How You Feel,Drake,980
67rj1KvwNPRWQi5spctRGH,凡人不懂愛 - 劇集 “降魔的2.0” 插曲,Hubert Wu,981
7oVLiGq3yyLnGzlKvhgd3t,先哭為敬,Joyce Cheng,982
6FHgHDXiGnRfhrSok9xAz3,ともに,WANIMA,983
2iW0q5jJJT5HKlIs25AAgv,HOME;RUN,SEVENTEEN,984
2j7GjqDtsKbEhVq0Gw6a5Z,恋だろ,wacci,985
04niDJQ3mzjkwzvid0Otoi,錠剤,TOOBOE,986
7pNAvsuTCFaXzSSUmfBPxz,Soy El Diablo - Remix,Natanael Cano,987
1Hy1CBFRXYvFL7eJT5MLlG,Cinta Luar Biasa,Andmesh,988
5GIyCpbdhQ5QC17jNUbWbn,Balik Kampung,"Sudirman\"\"]\"",989
2spp2skQYNYiNCak7DxOTN,Til lillebror,Erika Norwich,990
4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. H.E.R.),Daniel Caesar,991
44jJiCwGdnqqCkgqlvCIdp,Miloves (Otw Sayo),King Badger,992
3FARQP8fA49bSsTWjNyWmY,Secret Story of the Swan,IZ*ONE,993
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,994
3EuhCgpwvuxzpVRKerf9UN,GUSTY DJ I Alejo Isakk Session en el Barrio #5,Gusty dj,995
6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),Post Malone,996
2bT1PH7Cw3J9p3t7nlXCdh,If I Can't Have You,Shawn Mendes,997
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,998
2cnKST6T9qUo2i907lm8zX,a m a r i,J. Cole,999
5z8q2yz2tvKpue9zJj942c,Minutite,Tsvetelina Yaneva,1000
