track_id,name,new_artist,row_index
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,WILLOW,2001
4UANYptjv2kpV6IY7IjXoJ,Bem Pior Que Eu - Ao Vivo,Marília Mendonça,2002
23IfaTlFcjfs7PZKyXLdjb,Dancing In The Dark - Live,Jørgen Dahl Moe,2003
3EdUroPyP7PpNkAFzUDK0l,Kesetiaan,Sarah,2004
1cFRiDWuGghvnmMvAsQ2m4,Don't Leave Me Now,Lost Frequencies,2005
6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,2006
2ISl1zekPsc26sUQpVt8UB,Merry Christmas Everyone - Remastered,"Stevens\\\"\\\"]\\\"\"",2007
4IubwxgmXeZtDtYjTaT9gN,鱗(うろこ),Motohiro Hata,2008
51FaEdIT7cHCC31zgDZti5,"Go, Acid!",Acid,2009
54Q0xSkkMuTXPdkMPh7ZXc,จริงๆแล้ว,Illslick,2010
4WJcOzrNVgHMGS5zgnU6pS,Romjulsdrøm,Eva Weel Skram,2011
3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Tainy,2012
31yv1hR9gw1WSEmtqsaZbD,花束を君に,Hikaru Utada,2013
6NKn02oJDkUkRa9IHbMe3n,不思議,Gen Hoshino,2014
3K9RzumH1VCDgIZuwuT9bq,可愛くてごめん,HoneyWorks,2015
0ada5XsQGLPUVbmTCkAP49,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,2016
47ZS1OjnJpJVfGN9yHXfMn,Toda Remix - Remix,Alex Rose,2017
36QNwsq4EpOdS3E4WEJphO,พูดไม่ออก,THE TOYS,2018
0zRezEuKtaAXHcB4eruwi2,I Don’t Think That I Like Her,Charlie Puth,2019
3oBrXFR59oxbYVBJZ6lHG2,last breath,Mark Tuan,2020
7eZJLfMQ5mDtejHitRkzRf,凡星 (天星銀行airstar音樂劇場主題曲),Panther Chan,2021
082Z8aWrikvq4JA8qpgcgX,Savaştım Harbiden,Zeynep Bastık,2022
2WyRfGeHo97VC5mP1BBSzr,Mother's Daughter,Miley Cyrus,2023
6ts1KCOudfDYXYfyWtq0k1,おもかげ (produced by Vaundy),milet,2024
3EuhCgpwvuxzpVRKerf9UN,GUSTY DJ I Alejo Isakk Session en el Barrio #5,Gusty dj,2025
6jcGoHrqfRW6fI2I6xtwBQ,Deus é por nós,MC Marks,2026
5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,2027
0bGz5wNK3CjMnR69UChJav,雪不完的浪漫,Gareth.T,2028
7z4xW9WY86uH3gd1V9pfCM,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",2029
6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,MC Zaquin,2030
5hL1l3xsH0ZyKl8yUI6woj,Tot Musica,Ado,2031
4UG2Fm0E98LhE2dlNxiAXx,this is what falling in love feels like,JVKE,2032
7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),Alok,2033
3cZP6wSDNl9i2PgrXo4Zk5,นักวิทยาศาสตร์,D Gerrard,2034
1N8TTK1Uoy7UvQNUazfUt5,SPIT IN MY FACE!,ThxSoMch,2035
5OKZmPWtGoK3ZOj2VCicjM,Fendi Gucci Prada,Batuflex,2036
3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,2037
16VtXtccn3rmUAR9Q4W5ME,一人之境,Terence Lam,2038
7vJS1DPc3FzBtqBs8n3mW5,Bad To You (with Normani & Nicki Minaj),Ariana Grande,2039
76WthWB0v0KXUHZoAclMVV,等你下課,Jay Chou,2040
7atRIv41QhbeccbS5IuhDY,Hutang (feat. Baby Shima),Floor 88,2041
6ilPvEFcvuE8306ytmzSi9,ยอม...ปล่อย,CYANIDE,2042
0todbbT9g5uQGbeFCiBf2F,imagine,Ariana Grande,2043
1BA75Vrz6wS2m3nBAIxxlr,Et Sommertegn,Freddy Kalas,2044
4AdUxdA06Ex0VUDKJItcDN,Bak en fasade,Chris Holsten,2045
3FMedgGsLUNwx8NciePFEK,Reggae & Calypso (Russ Millions x Buni x YV),Russ Millions,2046
79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,Diego & Victor Hugo,2047
0qMip0B2D4ePEjBJvAtYre,紅蓮華,LiSA,2048
0KnDJSGxu03x8idlKLKKki,รู้ทั้งรู้,OG-ANIC,2049
1MO9nfvsVcW3Hgh0FqYfXq,終わりなき旅,Mr.Children,2050
