2018,Thailand,th,7296.04,1.07,0.77,6.011562,3.65,5.76
2019,Thailand,th,7811.48,0.71,0.72,6.0221515,3.51,5.58
2020,Thailand,th,7170.5,-0.85,1.1,5.8845444,3.24,6.59
2021,Thailand,th,7237.5,1.23,1.22,5.638097,4.71,6.03
2022,Thailand,th,7072.42,6.08,0.94,6.0071173,8.73,5.26
2018,Turkey,tr,9514.05,16.33,10.96,5.1856894,3.65,5.76
2019,Turkey,tr,9145.82,15.18,13.73,4.8720737,3.51,5.58
2020,Turkey,tr,8612.9,12.28,13.15,4.861554,3.24,6.59
2021,Turkey,tr,9663.88,19.6,11.97,4.3666396,4.71,6.03
2022,Turkey,tr,10621.97,72.31,10.43,5.0934415,8.73,5.26
