2018,Belgium,be,47685.35,2.31,5.95,6.892172,3.65,5.76
2019,Belgium,be,46783.1,1.25,5.36,6.772138,3.51,5.58
2020,Belgium,be,45615.36,0.42,5.56,6.838761,3.24,6.59
2021,Belgium,be,52039.55,3.21,6.26,6.8817563,4.71,6.03
2022,Belgium,be,50274.78,10.32,5.56,6.8568745,8.73,5.26
2018,Brazil,br,9629.6,3.67,12.33,6.190922,3.65,5.76
2019,Brazil,br,9364.24,3.73,11.94,6.451149,3.51,5.58
2020,Brazil,br,7344.53,3.21,13.7,6.109718,3.24,6.59
2021,Brazil,br,8269.71,8.3,13.16,6.0099535,4.71,6.03
2022,Brazil,br,9612.06,9.28,9.23,6.2570796,8.73,5.26
2018,Bulgaria,bg,9485.45,2.63,5.21,5.0988135,3.65,5.76
2019,Bulgaria,bg,9909.94,2.46,4.23,5.108438,3.51,5.58
2020,Bulgaria,bg,10165.58,1.22,5.12,5.597723,3.24,6.59
2021,Bulgaria,bg,12297.27,2.84,5.27,5.4216933,4.71,6.03
2022,Bulgaria,bg,14023.89,13.02,4.27,5.378349,8.73,5.26
