2018,Argentina,ar,11786.43,34.28,9.22,5.7927966,3.65,5.76
2019,Argentina,ar,9941.59,53.55,9.84,6.085561,3.51,5.58
2020,Argentina,ar,8489.33,42.02,11.46,5.900567,3.24,6.59
2021,Argentina,ar,10610.19,48.41,8.74,5.908279,4.71,6.03
2022,Argentina,ar,13676.22,72.43,6.8,6.2609935,8.73,5.26
2018,Australia,au,56441.27,1.91,5.3,7.1769934,3.65,5.76
2019,Australia,au,54391.31,1.59,5.18,7.233995,3.51,5.58
2020,Australia,au,53249.73,0.91,6.47,7.1373677,3.24,6.59
2021,Australia,au,64352.01,2.82,5.12,7.111599,4.71,6.03
2022,Australia,au,65513.82,6.61,3.72,7.034696,8.73,5.26
