track_id,name,new_artist,row_index
22JIvMAvfaP1xox8lxThla,Bidadari,Ismail Izzani,1801
4as4XEOR03oGm1STUKl6pa,BBIBBI,IU,1802
1t1QMYy8M80WHLzDUYmMFB,Grimaser (Idiomer for idioter),Cezinando,1803
5ddFjrPG8NgQQ6xlOQIVd2,Tú Me Dejaste De Querer,C. Tangana,1804
0GzuHFG4Ql6DoyxFRnIk3F,Hawái - Remix,Maluma,1805
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Drake,1806
1JXBNvlDEl2epKSJ9EOgKX,NOT SOBER (feat. Polo G & Stunna Gambino),The Kid LAROI,1807
5iFQfP3AqVnHHS89LKQisL,Anyone For You (Tiger Lily),George Ezra,1808
4QVBJZKMRLl2XsSDGbsf7D,Taka ni se pada,Preslava,1809
1qy7aOHnfnOMJoT1fhoLYG,Intenção - Ao Vivo,Marília Mendonça,1810
7KqeDL2CLfxSKSxtofrWOI,Cara Feio - Ao Vivo,Fernando & Sorocaba,1811
7fYRg3CEbk6rNCuzNzMT06,Potion (with Dua Lipa & Young Thug),Calvin Harris,1812
4AoYnU8ckSUQnO7Ek0vy38,狂人日記,Jer 柳應廷,1813
0tvPnYDLySJL9g7OHNJeyb,アカシア,BUMP OF CHICKEN,1814
2E8ziq8eQqwq1GhSjiS79y,ขวัญเอยขวัญมา,Palmy,1815
5IaqRI0FLDMOdeSIMCNSCB,Yapma N'olursun,Dolu Kadehi Ters Tut,1816
43qcs9NpJhDxtG91zxFkj7,Fiel - Remix,Wisin,1817
1O9FJyTicBMSqIv0RLRy4i,A Veces (feat. Feid),Paulo Londra,1818
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,1819
1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,1820
2QDyYdZyhlP2fp79KZX8Bi,mad woman,Taylor Swift,1821
7AVHDeAjfn0zfMnYRhp0oI,Ongewoon,Pommelien Thijs,1822
2Mpuy9fsafkQxX3DSow9xw,神奇的糊塗魔藥,Terence Lam,1823
0Os0RD1apkQsWOeF2cV5w2,遲了悔改 - ViuTV電視劇《太平紋身店》主題曲,Yan Ting,1824
63Hnm2IiSP9VDzJF2WdzCL,太平道,Endy Chow,1825
6EzZn96uOc9JsVGNRpx06n,うっせぇわ,Ado,1826
3k6o8UMc7aVgpKqm9epIrU,夏音,Yuuri,1827
4wYCZ6QS5EClBXqjakTieR,消えてしまいそうです,ZUTOMAYO,1828
35Wj4BI93AUX20ZIXsKJHy,Kjære Alkohol feat. Roc Boyz (Hall of Fame),Ballinciaga,1829
49LvD3xCNUitKp7ex86B3P,"KENYA - Live from DY Patil Stadium, Mumbai",Karpe,1830
315ar0QJiyciYkdVJUGA3w,ต่อจากนี้เพลงรักทุกเพลงจะเป็นของเธอเท่านั้น,No One Else,1831
5m9iZ0wLgpbSBwVW62AZvf,รักแท้ - True Love (เพลงจากละคร คุณชาย),NuNew,1832
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS,1833
5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),Zedd,1834
6sRLrSetyIwIKhW1eMlUNP,Vou Ter Que Superar - Ao Vivo,Matheus & Kauan,1835
0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara),Zedd,1836
2ipT2ARpIKXR4mlS7JEZEN,月色ホライズン,[Alexandros],1837
3kk5I0NtYAUesPqlzDFkKd,千両役者,King Gnu,1838
2GQclWZHwE4fMdqShvOPWU,Ojos Marrones - Con Sebastián Yatra,Lasso,1839
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,1840
44WLOqH7QayQOQdeUHeKUK,We are Bulletproof : the Eternal,BTS,1841
6la3Kme7O7D01fJPxgpAS5,訣愛 (劇集《蒼蘭訣》片頭曲),詹雯婷,1842
1lD1Pjy7rNDOny7nFqmUHJ,คำตอบ,Safeplanet,1843
5xdmFkq5uVLzhogUK8wRQk,ซ้อมมีแฟน (trial),Kinkaworn,1844
7Hfb93mB78H7HnZobmjtzt,kördüğüm,Sefo,1845
4Clmg1g8n2yBYG13Z1oSdG,Baila Conmigo (feat. Kelly Ruiz),Dayvi,1846
3STO1ZJi4EBbYCWY6qC8rv,Dejame Tranki,LIT killah,1847
5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,1848
0gCNs3jCCDhObAK0MRghtv,Catching Feelings (feat. SIX60),Drax Project,1849
2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,1850
