country,year,name,artists,rank,genre
au,2019,bad guy,['Billie Eilish'],7,Alternative Pop
au,2019,Memories,['Maroon 5'],8,Contemporary R&B
au,2019,Talk,"['Khalid', 'Disclosure']",9,House
au,2019,everything i wanted,['Billie Eilish'],10,Ambient Pop
au,2020,Mood (feat. iann dior),"['24kGoldn', 'iann dior']",1,Pop Rap
au,2020,WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",2,Trap
au,2020,positions,['Ariana Grande'],3,Contemporary R&B
au,2020,Blinding Lights,['The Weeknd'],4,Synthpop
au,2020,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",5,Trap
au,2020,Therefore I Am,['Billie Eilish'],6,Electropop
au,2020,Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",7,Dance-Pop
au,2020,SO DONE,['The Kid LAROI'],8,Pop Rap
au,2020,Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",9,Contemporary R&B
au,2020,All I Want for Christmas Is You,['Mariah Carey'],10,Christmas
au,2021,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",1,Synthpop
au,2021,Easy On Me,['Adele'],2,Adult Contemporary
au,2021,good 4 u,['Olivia Rodrigo'],3,Pop Rock
au,2021,Bad Habits,['Ed Sheeran'],4,Dance-Pop
au,2021,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",5,Dance-Pop
au,2021,Heat Waves,['Glass Animals'],6,Alternative Pop
au,2021,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",7,Trap
au,2021,Shivers,['Ed Sheeran'],8,Dance-Pop
au,2021,All I Want for Christmas Is You,['Mariah Carey'],9,Christmas
au,2021,Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",10,Contemporary R&B
au,2022,Anti-Hero,['Taylor Swift'],1,Synthpop
au,2022,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",2,Trap
au,2022,Lavender Haze,['Taylor Swift'],3,Alternative Pop
au,2022,Kill Bill,['SZA'],4,Alternative Pop
au,2022,As It Was,['Harry Styles'],5,Indie Pop
au,2022,Midnight Rain,['Taylor Swift'],6,Alternative Pop
au,2022,Maroon,['Taylor Swift'],7,Alternative Pop
au,2022,Snow On The Beach (feat. Lana Del Rey),"['Taylor Swift', 'Lana Del Rey']",8,Alternative Pop
au,2022,"You're On Your Own, Kid",['Taylor Swift'],9,Alternative Pop
au,2022,Karma,['Taylor Swift'],10,Synthpop
be,2018,In My Mind,\['Dynoro',1,House
be,2018,"thank u, next",['Ariana Grande'],2,Contemporary R&B
be,2018,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']",3,Hybrid Trap
be,2018,One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",4,Dance-Pop
be,2018,Promises (with Sam Smith),"['Calvin Harris', 'Sam Smith', 'Jessie Reyez']",5,Dance-Pop
be,2018,Verleden Tijd,"['Frenna', 'Lil Kleine']",6,Pop Rap
be,2018,Be Alright,['Dean Lewis'],7,Folk Pop
be,2018,All I Want for Christmas Is You,['Mariah Carey'],8,Christmas
be,2018,Happier,"['Marshmello', 'Bastille']",9,Electropop
be,2018,In My Feelings,['Drake'],10,Pop Rap
be,2019,Dance Monkey,['Tones And I'],1,Dance-Pop
be,2019,Señorita,"['Shawn Mendes', 'Camila Cabello']",2,Contemporary R&B
be,2019,everything i wanted,['Billie Eilish'],3,Ambient Pop
be,2019,bad guy,['Billie Eilish'],4,Alternative Pop
be,2019,Hoe Het Danst,"['Marco Borsato', 'Armin van Buuren', 'Davina Michelle']",5,Dance-Pop
be,2019,ROXANNE,['Arizona Zervas'],6,Pop Rap
be,2019,Don't Start Now,['Dua Lipa'],7,Dance-Pop
be,2019,Old Town Road (feat. Billy Ray Cyrus) - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",8,Pop Rap
be,2019,I Don't Care (with Justin Bieber),"['Ed Sheeran', 'Justin Bieber']",9,Afrobeats
be,2019,Memories,['Maroon 5'],10,Contemporary R&B
be,2020,Mood (feat. iann dior),"['24kGoldn', 'iann dior']",1,Pop Rap
be,2020,Fever,"['Dua Lipa', 'Angèle']",2,Dance-Pop
be,2020,Blinding Lights,['The Weeknd'],3,Synthpop
be,2020,Bande organisée,"['Kofs', 'Soso Maness', 'Elams', 'Jul', 'SCH', 'Naps', 'Solda', 'Houari', '13 Organisé']",4,Trap
be,2020,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",5,Trap
be,2020,Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",6,Dance-Pop
be,2020,Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",7,Dancehall
be,2020,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",8,House
be,2020,"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",9,Trap
be,2020,Dance Monkey,['Tones And I'],10,Dance-Pop
be,2021,Easy On Me,['Adele'],1,Adult Contemporary
be,2021,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",2,Synthpop
be,2021,good 4 u,['Olivia Rodrigo'],3,Pop Rock
be,2021,Jefe,['Ninho'],4,Trap
be,2021,abcdefu,['GAYLE'],5,Alternative Pop
be,2021,Pepas,['Farruko'],6,EDM
be,2021,Waterval,['K3'],7,Belgian Pop
be,2021,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",8,Trap
be,2021,Beggin',['Måneskin'],9,Funk Rock
be,2021,Bad Habits,['Ed Sheeran'],10,Dance-Pop
be,2022,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",1,Trap
be,2022,As It Was,['Harry Styles'],2,Indie Pop
be,2022,I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",3,House
be,2022,Anti-Hero,['Taylor Swift'],4,Synthpop
be,2022,Miss You,"['Oliver Tree', 'Robin Schulz']",5,Alternative Pop
be,2022,Doja,['Central Cee'],6,Hip Hop
be,2022,Running Up That Hill (A Deal With God),['Kate Bush'],7,Synthpop
be,2022,Ferrari,"['James Hype', 'Miggy Dela Rosa']",8,House
be,2022,DIE,['Gazo'],9,Trap
be,2022,Heat Waves,['Glass Animals'],10,Alternative Pop
bg,2018,"thank u, next",['Ariana Grande'],1,Contemporary R&B
bg,2018,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']",2,Hybrid Trap
bg,2018,Without Me,['Halsey'],3,Contemporary R&B
bg,2018,SICKO MODE,['Travis Scott'],4,Trap
bg,2018,In My Feelings,['Drake'],5,Pop Rap
bg,2018,Lucky You (feat. Joyner Lucas),"['Eminem', 'Joyner Lucas']",6,Hip Hop
bg,2018,Arms Around You (feat. Maluma & Swae Lee),"['XXXTENTACION', 'Lil Pump', 'Swae Lee', 'Maluma']",7,Dance-Pop
bg,2018,God is a woman,['Ariana Grande'],8,Contemporary R&B
bg,2018,ZEZE (feat. Travis Scott & Offset),"['Kodak Black', 'Offset', 'Travis Scott']",9,Hip Hop
bg,2018,I Love It (& Lil Pump),"['Kanye West', 'Lil Pump']",10,Pop Rap
bg,2019,Heartless,['The Weeknd'],1,Pop Rap
bg,2019,HIGHEST IN THE ROOM,['Travis Scott'],2,Pop Rap
bg,2019,Señorita,"['Shawn Mendes', 'Camila Cabello']",3,Contemporary R&B
bg,2019,Blinding Lights,['The Weeknd'],4,Synthpop
bg,2019,bad guy,['Billie Eilish'],5,Alternative Pop
bg,2019,everything i wanted,['Billie Eilish'],6,Ambient Pop
bg,2019,Dance Monkey,['Tones And I'],7,Dance-Pop
bg,2019,7 rings,['Ariana Grande'],8,Pop Rap
bg,2019,Don't Start Now,['Dua Lipa'],9,Dance-Pop
bg,2019,Old Town Road (feat. Billy Ray Cyrus) - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",10,Pop Rap
bg,2020,positions,['Ariana Grande'],1,Contemporary R&B
bg,2020,WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",2,Trap
bg,2020,"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",3,Trap
bg,2020,Blinding Lights,['The Weeknd'],4,Synthpop
bg,2020,Therefore I Am,['Billie Eilish'],5,Electropop
bg,2020,Gledai me,"['Gery-Nikol', 'Slatkaristika']",6,Dance-Pop
bg,2020,HOLIDAY,['Lil Nas X'],7,Trap
bg,2020,Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",8,Dance-Pop
bg,2020,FRANCHISE (feat. Young Thug & M.I.A.),"['Travis Scott', 'Young Thug', 'M.I.A.']",9,Trap
bg,2020,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",10,House
bg,2021,А+Г=ВНЛ,"['Galena', 'Azis']",1,Pop Folk
bg,2021,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",2,Trap
bg,2021,MONTERO (Call Me By Your Name),['Lil Nas X'],3,Pop Rap
bg,2021,Beggin',['Måneskin'],4,Funk Rock
bg,2021,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",5,Synthpop
bg,2021,Bad Habits,['Ed Sheeran'],6,Dance-Pop
bg,2021,I WANNA BE YOUR SLAVE,['Måneskin'],7,Alternative Rock
bg,2021,Enemy (with JID) - from the series Arcane League of Legends,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",8,Pop Rock
bg,2021,Deja Vu,['SIMONA'],9,Alternative Pop
bg,2021,Turbulence,"['Emilia', 'Florin Salam', 'Costi']",10,Pop
bg,2022,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",1,Alternative R&B
bg,2022,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",2,Trap
bg,2022,Alcohol,"['Emilia', 'Galin']",3,Pop Folk
bg,2022,PARALIA,"['V:RGO', 'EMIL TRF', 'FYRE', '2bona']",4,Hip Hop
bg,2022,Anti-Hero,['Taylor Swift'],5,Synthpop
bg,2022,I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",6,House
bg,2022,Welcome to Bulgaria,"['Galena', 'DJ Damyan', 'Costi']",7,Dance-Pop
bg,2022,Euphoria,['Galena'],8,Pop
bg,2022,As It Was,['Harry Styles'],9,Indie Pop
bg,2022,Super Freaky Girl,['Nicki Minaj'],10,Pop Rap
br,2018,Ciumeira - Ao Vivo,['Marília Mendonça'],1,Sertanejo
br,2018,Atrasadinha - Ao Vivo,"['Felipe Araújo', 'Ferrugem']",2,Pop
br,2018,Ao Vivo E A Cores,"['Matheus & Kauan', 'Anitta']",3,Pop
br,2018,Veneno,['Anitta'],4,Pop
br,2018,Parado no Bailão,"['MC L da Vinte', 'MC Gury']",5,Funk
br,2018,Agora é Tudo Meu,"['DENNIS', 'MC Kevinho']",6,Funk
br,2018,Largado Às Traças - Ao Vivo,['Zé Neto & Cristiano'],7,Sertanejo
br,2018,O Bebê,"['MC Kevinho', 'MC Kekel']",8,Pop
br,2018,Propaganda - Ao Vivo,['Jorge & Mateus'],9,Sertanejo
br,2018,Só Pra Castigar,['Wesley Safadão'],10,Electronic forro
br,2019,Liberdade Provisória - Ao Vivo,['Henrique & Juliano'],1,Sertanejo
br,2019,Combatchy (feat. MC Rebecca),"['Anitta', 'Lexa', 'Luísa Sonza', 'Rebecca']",2,Funk
