country,year,track_id,name,artists,duration,artist_genres,explicit,total_streams,weeks_on_chart,average_streams,rank
no,2022,02MWAaffLxlfxAUY7c5dvx,Heat Waves,['Glass Animals'],238805,"['gauze pop', 'indietronica', 'shiver pop']",false,11610897,44,263884.0227272727,49
no,2022,2922dygRXuK1EuWRv7YLby,BigPapaGoat_v4_4130422.wav,"['Karpe', 'Jonas Benyoub']",143699,"['norwegian pop', 'norwegian pop rap', 'norwegian hip hop', 'norwegian indie']",false,3954892,15,263659.4666666667,50
no,2022,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,['Taylor Swift'],202395,['pop'],true,777171,3,259057.0,51
no,2022,3IVkcYvMiqvRKa4ip0E7a8,Loud Luxury 2022,"['Ballinciaga', 'Kevin Lauren']",122331,"['norwegian pop rap', 'norwegian pop']",true,11470117,45,254891.48888888888,52
no,2022,2XAup2iHm6t3UK4Hsjkkwy,Sympati,['Aiba'],176401,"['norwegian pop rap', 'norwegian pop']",false,7420788,30,247359.6,53
no,2022,2cODxfc9u2Zvl4EGmJ3slI,"jeg elsker deg, men",['Ramón'],236673,"['norwegian pop', 'norwegian pop rap']",false,3405685,14,243263.2142857143,54
no,2022,561jH07mF1jHuk7KlaeF0s,Mockingbird,['Eminem'],250760,"['detroit hip hop', 'hip hop', 'rap']",true,1214096,5,242819.2,55
no,2022,791LthD0UWUYYXOwneTM3V,Hvis Jeg Forlot Verden,['TIX'],196627,"['russelater', 'norwegian pop', 'eurovision']",false,4613437,19,242812.47368421053,56
no,2022,5uSFGgIfHMT3osrAd9n9ym,Forget Me,['Lewis Capaldi'],203472,"['uk pop', 'pop']",false,2175114,9,241679.33333333334,57
no,2022,5vtRUF1yqzWWwZe5rN901j,IBOPROFEN,"['Karpe', 'Omar Sheriff']",130919,"['norwegian pop', 'norwegian hip hop', 'norwegian indie']",true,10124924,42,241069.61904761905,58
no,2022,50Cf2eYv8zT3v2HAkwhIiL,Give That Wolf A Banana,['Subwoolfer'],171933,[],false,6737700,28,240632.14285714287,59
no,2022,7jtQIBanIiJOMS6RyCx6jZ,Another Love,['Tom Odell'],244360,"['chill pop', 'pop']",true,10549278,44,239756.31818181818,60
no,2022,35Wj4BI93AUX20ZIXsKJHy,Kjære Alkohol feat. Roc Boyz (Hall of Fame),"['Ballinciaga', 'Roc Boyz']",120312,['norwegian pop'],true,5480832,23,238297.04347826086,61
no,2022,4fouWK6XVHhzl78KzQ1UjL,abcdefu,['GAYLE'],168601,['modern alternative pop'],true,7294248,31,235298.32258064515,62
no,2022,01yhPS4Pn3chM0sc3gcs6B,Shotgun,"['Anna of the North', 'Hver gang vi møtes']",193466,"['norwegian pop', 'nordnorsk musikk', 'electropop', 'vapor pop', 'norwegian indie', 'indie poptimism']",false,3510975,15,234065.0,63
no,2022,1g6pAG1re0AKUO26JJpZJ8,31 Etasje,['Capow x 2G'],157765,['norwegian pop'],false,5367944,23,233388.86956521738,64
no,2022,0wHFktze2PHC5jDt3B17DC,First Class,['Jack Harlow'],173947,"['kentucky hip hop', 'pop', 'deep underground hip hop', 'rap']",true,4644366,20,232218.3,65
no,2022,6UzKSYzM7VMDIky6JQj8cd,oh no,"['Broiler', 'Caden']",134800,"['tropical house', 'norwegian pop', 'nordic house']",false,1160021,5,232004.2,66
no,2022,60deDJnxH7G68DwxfbN9aQ,Tenerife Tapes,['Rike Venner'],97021,['norwegian pop rap'],true,2781310,12,231775.83333333334,67
no,2022,2wltzM6xElc7E6Ryn6Tqbo,menn som meg,['Ramón'],184040,"['norwegian pop', 'norwegian pop rap']",false,1849652,8,231206.5,68
no,2022,1cb0J9fgwlnQtESfcRV0XJ,Livet Er Herlig,"['TIX', 'El Papi']",143261,"['russelater', 'norwegian pop', 'eurovision']",false,4326524,19,227711.7894736842,69
no,2022,7rQGY01dn2IOFTibu9ZDws,Pust,['TIX'],188000,"['eurovision', 'norwegian pop', 'russelater']",true,1585414,7,226487.7142857143,70
no,2022,1nH2PkJL1XoUq8oE6tBZoU,Sacrifice,['The Weeknd'],188918,"['canadian contemporary r&b', 'pop', 'canadian pop']",true,1583546,7,226220.85714285713,71
no,2022,51eQgwl8wIOcNprwwb1eK1,IBN ADAM,"['Karpe', 'Omar Sheriff']",261289,"['norwegian pop', 'norwegian hip hop', 'norwegian indie']",true,3842836,17,226049.17647058822,72
no,2022,3jpeo8JtADAgw5VViBifUN,Til Dovre Faller,['Johanne Holmedahl'],221205,[],false,675572,3,225190.66666666666,73
no,2022,6XIOwPaFCpwBApJmQqt7t0,Blod,['Jon Ranes'],175266,"['norwegian pop', 'norwegian pop rap']",false,1998561,9,222062.33333333334,74
no,2022,5IgjP7X4th6nMNDh4akUHb,Under The Influence,['Chris Brown'],184613,"['dance pop', 'r&b', 'pop']",true,3314573,15,220971.53333333333,75
