track_id,name,new_artist,row_index
2zjGJ0dChMR0KxBZS15aqo,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,1401
2WVbMoHdWCspdiEa7OnG1D,春秋,Hins Cheung,1402
3kwgqoBqTwoAH4nT29TYrq,Nobody's Love,Maroon 5,1403
2N4lCwOeFRX7qrbMPRcZ7d,ベルベットの詩,back number,1404
3bvJftZKZe5QKz433NczyV,No Es Por Acá,Carin Leon,1405
4Tvw0lweq9l2JPQKFbpbBQ,Better When You're Gone,David Guetta,1406
4twPIcFhR0270afJADX60L,Igjen Og Igjen (feat. TIX),El Papi,1407
5DhVAdJiCSdTJn5A1ioKLb,แผลในใจ,GTK,1408
7IcfEY0IyV4fdALbwJCw3v,ภาวนา,MEYOU,1409
6GWxyilMge5tlHylX0KjSS,รอหรือพอ(STAY),Ink Waruntorn,1410
1pFNuRW1pWWrDvw3d6HFfR,ใจหายอ่ะ สงสัยอยู่ที่เธอ - AirTag,Praesun,1411
1q0PYXTbDsirp2l74ng6pn,In Da Getto,J Balvin,1412
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,1413
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1414
74gguwbBvfBTurNJUWFOsC,Largado As Traças - Acústico,Zé Neto & Cristiano,1415
7gBVJf7qn3rTkQxlQ1nNeS,Baianá (feat. Barbatuques & Foreign),Alok,1416
0A9y4c4dkI68IEnsRGtWil,My Lover - Radio Edit,Not3s,1417
10Tjxc2yoqT9BPpezRDRLh,Satu Hari Di Hari Raya,M. Nasir,1418
3afkJSKX0EAMsJXTZnDXXJ,Strawberries & Cigarettes,Troye Sivan,1419
5MvCgyuPop4l4EsV9OoSE4,Can't Get Over You,Nick Strand,1420
3bx3MDkbF2ta2VtLxFxh3w,Dommedagen 2020,TIX,1421
57lRsvbkdkaGnQ5xksw7rq,เศษ,"ER\"\"]\"",1422
6IitkM7xiuKhDXzshXUnRa,เลือกคนที่เขารักเรา,Three Man Down,1423
4KP9dagbB3Da9jnpfIEG7P,ดี๊ดี (UNEXPECTED),JAYLERR,1424
0Qk8RUwooCGKghG9yClG3O,ซับ,BOWKYLION,1425
4WMIDb84HJew38XXz2ywvG,Aşkın Enkazı,Gökhan Türkmen,1426
1GBLO0NFODuL31A5fgw0uR,No Se Me Quita (feat. Ricky Martin),Maluma,1427
2hloaUoRonYssMuqLCBLTX,bloodline,Ariana Grande,1428
4slSrbTK1sNK4I1mDYEthf,Rover (feat. DTG),S1mba,1429
5odlY52u43F5BjByhxg7wg,golden hour,JVKE,1430
6WzmyuCCYrx8K4tuBI2Eq7,Стига - Stiga,Papi Hans,1431
2IxTTLlkB2hSUDn138o8uq,Chukove,Marso,1432
5L8ZEyIdZ2KE4Wf51SsuOF,Com ou Sem Mim - Ao Vivo,Gustavo Mioto,1433
4dkMmfrNEIUMjoEIFHA2yy,Eu Vou Tirar Você Do Cabaré,Israell Muniz,1434
4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,Dj LK da Escócia,1435
5cCwZJUf8QiCQGnyakhpmF,Papo de Agustinho,Oruam,1436
3CE1HoJJ0FVKo7JHsWIuvC,說散就散,JC 陳詠桐,1437
7oj8P5fVZy9b0ECmH69lG7,特務肥姜 2.0,Keung To,1438
57Ba26w9eoXx8BBUNgRNLV,La Forma en Que Me Miras,Super Yei,1439
6JgWlZevrjV6nr6NiNf5Ji,Sumpah,Naim Daniel,1440
6v9LrcHY72rvk1HtKOeAwj,Penantian,Armada,1441
2ICse7t8MB60EFk6o9aUyw,Who's Laughing Now,Ava Max,1442
0PjGxOaBFjQfesMeT5HbAw,Klask 2022 (Hjemmesnekk),Kudos,1443
1rNYuv63emsYt4Jjv8RlgJ,เจ้าของที่ (My Favorite),Mirrr,1444
503pLweWD0ucuiuiMhp6tz,karanfil,Sıla,1445
67jvGGbJmOmVonlyX3mNkV,Caramelo - Remix,Ozuna,1446
4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),Justin Bieber,1447
5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1448
2q3JnwftU19wSFgQl2lH4U,KUDE BESHE,V:RGO,1449
5hJJOWPZtBq15zVfWWM8lZ,Acabou Acabou (Quando Eu Digo Que Acabou) - Live,Gabriel Diniz,1450
