"year","country","positive","neutral","negative","happiness","developed_country","comb","in_one"
2018,"Argentina",2.63636363636364,0.363636363636364,7,5.7927966,FALSE,-4.36363636363636,-4.18181818181818
2019,"Argentina",1.63636363636364,0.454545454545455,7.90909090909091,6.085561,FALSE,-6.27272727272727,-6.04545454545455
2020,"Argentina",1.90909090909091,0.454545454545455,7.63636363636364,5.900567,FALSE,-5.72727272727273,-5.5
2021,"Argentina",2.09090909090909,0.181818181818182,7.72727272727273,5.908279,FALSE,-5.63636363636364,-5.54545454545454
2022,"Argentina",1.81818181818182,0.636363636363636,7.54545454545454,6.2609935,FALSE,-5.72727272727273,-5.40909090909091
2018,"Australia",4.63636363636364,0.818181818181818,4.54545454545454,7.1769934,TRUE,0.0909090909090917,0.500000000000001
2019,"Australia",3.63636363636364,1.18181818181818,5.18181818181818,7.233995,TRUE,-1.54545454545454,-0.954545454545454
2020,"Australia",3.90909090909091,0.272727272727273,5.81818181818182,7.1373677,TRUE,-1.90909090909091,-1.77272727272727
2021,"Australia",4.54545454545454,0.363636363636364,5.09090909090909,7.111599,TRUE,-0.545454545454545,-0.363636363636363
2022,"Australia",3.72727272727273,0.636363636363636,5.63636363636364,7.034696,TRUE,-1.90909090909091,-1.59090909090909
2018,"Belgium",4.27272727272727,0.818181818181818,4.90909090909091,6.892172,TRUE,-0.636363636363637,-0.227272727272728
2019,"Belgium",3.81818181818182,0.363636363636364,5.81818181818182,6.772138,TRUE,-2,-1.81818181818182
2020,"Belgium",3.45454545454545,0.272727272727273,6.27272727272727,6.838761,TRUE,-2.81818181818182,-2.68181818181818
2021,"Belgium",3.18181818181818,0.727272727272727,6.09090909090909,6.8817563,TRUE,-2.90909090909091,-2.54545454545455
2022,"Belgium",2.63636363636364,0.636363636363636,6.72727272727273,6.8568745,TRUE,-4.09090909090909,-3.77272727272727
2018,"Bulgaria",3.90909090909091,1.18181818181818,4.90909090909091,5.0988135,FALSE,-1,-0.409090909090909
2019,"Bulgaria",3.90909090909091,1.09090909090909,5,5.108438,FALSE,-1.09090909090909,-0.545454545454545
2020,"Bulgaria",4.27272727272727,1.18181818181818,4.54545454545454,5.597723,FALSE,-0.272727272727272,0.318181818181818
2021,"Bulgaria",4.09090909090909,0.818181818181818,5.09090909090909,5.4216933,FALSE,-0.999999999999999,-0.59090909090909
2022,"Bulgaria",3.27272727272727,1,5.72727272727273,5.378349,FALSE,-2.45454545454546,-1.95454545454546
2018,"Brazil",2.63636363636364,0.0909090909090909,7.27272727272727,6.190922,FALSE,-4.63636363636364,-4.59090909090909
2019,"Brazil",3.63636363636364,0,6.36363636363636,6.451149,FALSE,-2.72727272727273,-2.72727272727273
2020,"Brazil",3.63636363636364,0.0909090909090909,6.27272727272727,6.109718,FALSE,-2.63636363636364,-2.59090909090909
2021,"Brazil",3.72727272727273,0.0909090909090909,6.18181818181818,6.0099535,FALSE,-2.45454545454545,-2.40909090909091
2022,"Brazil",3.63636363636364,0.0909090909090909,6.27272727272727,6.2570796,FALSE,-2.63636363636364,-2.59090909090909
2018,"Canada",3.90909090909091,1,5.09090909090909,7.1754966,TRUE,-1.18181818181818,-0.681818181818181
2019,"Canada",3.90909090909091,0.727272727272727,5.36363636363636,7.1090765,TRUE,-1.45454545454545,-1.09090909090909
2020,"Canada",4.27272727272727,0.272727272727273,5.45454545454545,7.0249047,TRUE,-1.18181818181818,-1.04545454545455
2021,"Canada",4.45454545454545,0.545454545454545,5,6.9394355,TRUE,-0.545454545454546,-0.272727272727273
2022,"Canada",3.63636363636364,0.909090909090909,5.45454545454545,6.9179354,TRUE,-1.81818181818182,-1.36363636363636
2018,"United Kingdom",4.54545454545454,0.727272727272727,4.72727272727273,7.233445,TRUE,-0.181818181818183,0.181818181818181
2019,"United Kingdom",4.36363636363636,0.818181818181818,4.81818181818182,7.157151,TRUE,-0.454545454545455,-0.045454545454546
2020,"United Kingdom",4.81818181818182,0.272727272727273,4.90909090909091,6.7981772,TRUE,-0.0909090909090908,0.0454545454545455
2021,"United Kingdom",4.63636363636364,0.454545454545455,4.90909090909091,6.866962,TRUE,-0.272727272727272,-0.0454545454545452
2022,"United Kingdom",3.54545454545455,0.636363636363636,5.81818181818182,6.72178,TRUE,-2.27272727272727,-1.95454545454545
2018,"Hong Kong",4.18181818181818,1.09090909090909,4.72727272727273,5.43,TRUE,-0.545454545454546,-4.44089209850063e-16
2019,"Hong Kong",4.18181818181818,0.909090909090909,4.90909090909091,5.659317,TRUE,-0.727272727272728,-0.272727272727273
2020,"Hong Kong",4.36363636363636,0.909090909090909,4.72727272727273,5.2953415,TRUE,-0.363636363636364,0.0909090909090904
2021,"Hong Kong",2.90909090909091,1.81818181818182,5.27272727272727,5.321551,TRUE,-2.36363636363636,-1.45454545454545
2022,"Hong Kong",3.90909090909091,1.18181818181818,4.90909090909091,5.311294,TRUE,-1,-0.409090909090909
2018,"Honduras",2.81818181818182,0.545454545454545,6.63636363636364,5.908424,FALSE,-3.81818181818182,-3.54545454545455
2019,"Honduras",1.54545454545455,0.545454545454545,7.90909090909091,5.9300513,FALSE,-6.36363636363636,-6.09090909090909
2020,"Honduras",2.18181818181818,0.363636363636364,7.45454545454546,5.9532,FALSE,-5.27272727272727,-5.09090909090909
2021,"Honduras",1.90909090909091,0,8.09090909090909,6.113636,FALSE,-6.18181818181818,-6.18181818181818
2022,"Honduras",1.90909090909091,0.272727272727273,7.81818181818182,5.9318037,FALSE,-5.90909090909091,-5.77272727272727
2018,"Japan",5,1.18181818181818,3.81818181818182,5.7935753,TRUE,1.18181818181818,1.77272727272727
2019,"Japan",3.63636363636364,1.63636363636364,4.72727272727273,5.908039,TRUE,-1.09090909090909,-0.272727272727273
2020,"Japan",3.27272727272727,2.36363636363636,4.36363636363636,6.1179633,TRUE,-1.09090909090909,0.090909090909091
2021,"Japan",3.09090909090909,2,4.90909090909091,6.091325,TRUE,-1.81818181818182,-0.818181818181818
2022,"Japan",3.27272727272727,2.18181818181818,4.54545454545454,6.17801,TRUE,-1.27272727272727,-0.181818181818182
2018,"Mexico",3.36363636363636,0.545454545454545,6.09090909090909,6.5495787,FALSE,-2.72727272727273,-2.45454545454546
2019,"Mexico",2.54545454545454,0.454545454545455,7,6.4319453,FALSE,-4.45454545454546,-4.22727272727273
2020,"Mexico",2.54545454545454,0.272727272727273,7.18181818181818,5.964221,FALSE,-4.63636363636364,-4.5
2021,"Mexico",2.81818181818182,0.272727272727273,6.90909090909091,5.990751,FALSE,-4.09090909090909,-3.95454545454546
2022,"Mexico",2.36363636363636,0.636363636363636,7,7.0383687,FALSE,-4.63636363636364,-4.31818181818182
2018,"Malaysia",4.09090909090909,1.18181818181818,4.72727272727273,5.3388176,FALSE,-0.636363636363637,-0.0454545454545457
2019,"Malaysia",4.27272727272727,1.27272727272727,4.45454545454545,5.427954,FALSE,-0.181818181818182,0.454545454545455
