track_id,name,new_artist,row_index
4hqOmrCCJKyiuwDexd8c2t,Price On My Head (feat. The Weeknd),NAV,3101
4OmFmE0fzcMG6g0Y8p4eSD,Better Man (Taylor's Version) (From The Vault),Taylor Swift,3102
2WYpG3Kv1xRTqMSNXVOpAN,Arme de poing,Ninho,3103
5eXXJJuejAUkggSgIINU1V,きらきら,もさを。,3104
7CBImG41isOs2r7lQU7CCy,Salvou meu dia (Participação especial de Gusttavo Lima),MC Kevinho,3105
7kuRvjpeUcn6qNV9IBXC2C,Ta To Gucci (Remix),Cauty,3106
15Xn4r9FY3725iHIfyq5hE,คำถาม,PUNYARB,3107
7aRCAByC8ktZVKhVhDS4la,Aktiverad (Klick Klack),Alawee,3108
0H8CBal2Dcu5Yc001VotZN,Dona de mim,IZA,3109
2vAtN2fB1zqTzfPGxqHmyO,グッドな音楽を,neguse.,3110
7toL7Re9rApzIuIFDaLQSe,Bi' Tek Ben Anlarım,KÖFN,3111
6amRvd3cJjQXJUnfjNboLU,ily…,HIRAIDAI,3112
3im90dPSC5z1PYJ305kgSy,BODIES (feat. Damso),Gazo,3113
4XqtyE2i3U1z2rMVcgnYX6,ลืมไป (Blind) [feat. ปู่จ๋าน ลองไมค์],WANYAi,3114
3u0e8pyoVc7l2u3T5thohY,空の青さを知る人よ,Aimyon,3115
50v2TSRV31bwpAPkjWejNL,Really Love (feat. Craig David & Digital Farm Animals),KSI,3116
3ibRxEv4KkcU9e259eyNJA,Sua cara (feat. Anitta & Pabllo Vittar),Major Lazer,3117
2njqaJOTwA4Itcn3TotTAk,İllegale,Batuflex,3118
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),Black Eyed Peas,3119
3zF91nuE7bEP6POLHdYF3k,Поредната цигара,Dessita,3120
3yeFTYLMz4nOtyPXWEMKsW,Carne y Hueso,TINI,3121
6o9F8qsYr6SfBNv1U9NO6b,Ne te zabravyam,Preslava,3122
6iNH42q8haGYDYGhKK6XiJ,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,3123
4qkggtykkzl6qfuScsNmJk,Podvodnitsa,Emanuela,3124
6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,3125
1bQzTUxeGELwCbWIan83V3,LIF,SCH,3126
5Z8HZM6iQMhhqyPcCGY5g9,Hot (feat. Gunna),Young Thug,3127
4AoYnU8ckSUQnO7Ek0vy38,狂人日記,Jer 柳應廷,3128
3uw93CiI34uZlfk8ywep1e,大正浪漫,YOASOBI,3129
7iQdInUqIpVdatCooLZC3A,風的形狀,Yoyo Sham,3130
1Y8KxQUmP1xuaF5mNTYE0x,riBBon,BamBam,3131
3B30FE1ywQwRa5vcg2W1Zg,"Don Patricio: Bzrp Music Sessions, Vol. 25",Bizarrap,3132
4E2s2lCNKxbWJMwHPMzOfq,Never Ever (feat. Sarah),The Rubens,3133
0Bv7O6fmZk3GrNQFYJaXPn,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",La Pantera,3134
75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,Mc Pepeu,3135
1oc3jna2ablnfIKLYbKujl,If You're Over Me,Years & Years,3136
5ra6CI0pEzqjxPEZeBz0d7,Amor e Fé - Acústico,Hungria Hip Hop,3137
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,Queen,3138
4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Justin Bieber,3139
2lMVTk3I232dE7jnkufOSt,老派約會之必要,MC 張天賦,3140
08LwMWf5Tcfsd752EPzFV0,i n t e r l u d e,J. Cole,3141
4pDenOoD01LCPgkzJgu437,"RIP, Love",Faouzia,3142
3A92YIMk1dxUPH45GpbZzy,Kalbim Tatilde - Mustafa Ceceli Versiyon,Ziynet Sali,3143
50ZC4PM7hywH27RcCfViau,Elegí (feat. Dímelo Flow),Rauw Alejandro,3144
5xlS0QkVrSH7ssEbBgBzbM,Little Saint Nick - 1991 Remix,The Beach Boys,3145
6oTyQdGm1gjyDbd1N1Vhq4,ความลับมีในโลก(Secret),Ink Waruntorn,3146
185Wm4Mx09dQG0fUktklDm,ラブレター,YOASOBI,3147
11ZulcYY4lowvcQm4oe3VJ,Slumber Party (feat. Princess Nokia),Ashnikko,3148
7z5G2LOdV8okZn4yWg3q5g,Night Away (Dance) (feat. Tion Wayne),A1 x J1,3149
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),Marshmello,3150
