track_id,name,new_artist,row_index
3TSB6v3t9nmizD5PzyiiFv,Como + Nadie,MYA,451
1xXQCSt0xkfeGhe18ey2p8,"YSY A: Bzrp Music Sessions, Vol. 37",Bizarrap,452
2x8oBuYaObjqHqgGuIUZ0b,ARRANCARMELO,WOS,453
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),JP Saxe,454
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Saweetie,455
4356PL6jkERzJouVfQQkZo,High Infidelity,Taylor Swift,456
27356GVuMPFWiJSZCragoM,make up,Ariana Grande,457
4zsiMjB0794HztyqUkD3Zi,Sogra - Ao Vivo,Dilsinho,458
7EWXP47VlXKO3r7mNxuWHw,"Ele É Ele, Eu Sou Eu",Wesley Safadão,459
6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,Japãozin,460
3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,Jorge & Mateus,461
4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,George Henrique & Rodrigo,462
3GdWfmQBiiJrDUvSZS1bGv,Never Sleep (with Lil Baby feat. Travis Scott),NAV,463
0XaHPBAzPAC5ubwcRBqc1p,Shukumei,Official HIGE DANdism,464
6IHWPY5iBUI1AOUclbtE6F,夜撫でるメノウ,Ayase,465
1VHL1PIkhDwWbFc65xHwOr,愛とか恋とか,Novelbright,466
7uL1ZsdxI8l4sgEsgCmTlG,Entre Beso Y Beso,La Arrolladora Banda El Limón De Rene Camacho,467
3yTkoTuiKRGL2VAlQd7xsC,0X1=LOVESONG (I Know I Love you),TOMORROW X TOGETHER,468
60deDJnxH7G68DwxfbN9aQ,Tenerife Tapes,Rike Venner,469
6jB7cmxRuvf5QUxYl73q0o,lutang,jikamarie,470
3QwiidVHfeE9y5jl4n2MTC,_WORLD,SEVENTEEN,471
1kUwlk4SqvLEjOk8yFPtUe,หัวหิน (Huahin Loop),WANYAi,472
6PM9OBzgQbY7wAkPWBTl2V,สถานีดวงจันทร์,Whatcharawale,473
7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G,474
67Wqby5IjOMMpIYwqmCYOG,intoxicao,Emilia,475
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),Marshmello,476
5W8jRrZ6tWrTrqnKRtIQBf,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,477
2OSsMwCiZPC44tJ4OPVSZF,All I Need (with Gucci Mane),Dimitri Vegas & Like Mike,478
7AYf4DucWVvjm5NQy8paAl,Prosto sex,Galin,479
5yXmtupoVp0GSM1ENKciOX,Случки,Molec,480
2H1liABu20HXBOmbt5SQz1,Ciumeira - Ao Vivo,Marília Mendonça,481
1qDZnViQgUItsMpWLVwfGb,Fica - Bonus Track,ANAVITÓRIA,482
7vZqxuOvEwRHsGVaDykzpY,Porta Mala,Os Parazim,483
7CDdyDigw7e3zFr3k7uKMY,Pode Sumir,Luíza & Maurílio,484
4QWumyD2uwiePBBha9XBHI,No Ouvidinho,Felipe Amorim,485
25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,Nivaldo Marques,486
3uJFmluXzYedoJcvhpC1AW,Hot Shit (feat. Ye & Lil Durk),Cardi B,487
6XBL9naPxZjATbmGAWGJ9V,飞鸟和蝉,Ren Ran,488
1jVw3apCOogFU1mOquNIhC,正式開始,陳卓賢 Ian,489
0bGz5wNK3CjMnR69UChJav,雪不完的浪漫,Gareth.T,490
5m1i6hq7dmRlp3c1utE48L,水平線,back number,491
7vPjcqFUBCHeGlZQFijnIc,泡,King Gnu,492
0ZAt0b8007aMpb8yLVFNw5,空と青,Leo Ieiri,493
2FC79lHLOOBhIkdxmQtYAT,jeg føler meg som tshawe,MARS,494
6nIoVkKodp1UX5rHQvqE5G,Seriøst (feat. Admiral P),Morgan Sulele,495
74nVCj4vMVemLIs71vXcnP,白月光与朱砂痣,大籽,496
78SisrpqN9rYxNwFbpQ7JX,พอเถอะ,MEAN,497
57NV6TzzYS473R7OgmDepf,ก่อนนอนคืนนี้,YOUNGOHM,498
2qKXdSbREFW4Py3i7leW0r,SuperCarCare,Tattoo Colour,499
4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,500
