track_id,name,new_artist,row_index
35xilew5nalcetOeytaDFj,還在流浪,Jay Chou,1551
34r4voojt51Kk6ax5FJI1M,VENT'ANNI,Måneskin,1552
0BNtpLD6zsXJGroRtcixOE,Años Luz,Nicki Nicole,1553
6pRlNmiZ15mI0D0Y9VBjDe,Who's That What's That,Niko B,1554
2ZtuVu1WOY5vWHzcpUPEQ2,Very Very Small,YOUNGOHM,1555
20GrahbI4AzAOWxpYfDKkf,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,1556
28MATCYDctW5EiBa2repxb,新時代,Ado,1557
1ojBtNRMzjL7ptLPZCzfRz,Thinking with My Dick (feat. Juicy J),Kevin Gates,1558
6EbVuwU7EnKeF2hdpViXCH,Die Young (feat. 347aidan),Sleepy Hallow,1559
1TEL6MlSSVLSdhOSddidlJ,needy,Ariana Grande,1560
34r5BGAd9Fc297M3MoIhmX,åtte shots,Broiler,1561
5qjMyKkmosPBws5cImS9Zz,Trincadinho - Ao Vivo,Jorge & Mateus,1562
099tjv6oy2opbpCOA3nBwX,Dream Girl - Remix,Ir Sais,1563
4v1jAfui9gHygoPSs1B6Lz,Air Mata Syawal,"Sri Siti Nurhaliza\\\"\\\"]\\\"\"",1564
63PJ7AVOjL5WcaYmPxiblX,Son Durağın,Kahraman Deniz,1565
3brV0xXqxX3NHvqY1QJ3xj,Dari Jauh Kupohon Maaf,"Sudirman\\\"\\\"]\\\"\"",1566
2KaJryomBxy8UxpjCAkvvY,Kom Wat Dichterbij - Uit Liefde Voor Muziek,Regi,1567
3hU9nGBhYJQwvF8BJ4PUcE,囍帖街,Kay Tse,1568
6F0aYmicNttntvth7FXQEx,猫 〜THE FIRST TAKE ver.〜,DISH//,1569
7uL1ZsdxI8l4sgEsgCmTlG,Entre Beso Y Beso,La Arrolladora Banda El Limón De Rene Camacho,1570
2bZIDMpzVooosmPHn0tHnd,STEREOTYPE,STAYC,1571
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),Machine Gun Kelly,1572
6tsOcBnaKgzK22yEiqRh8P,MONOPOLY (with Victoria Monét),Ariana Grande,1573
7ksK7gpPDFdY4JLHr1hKfY,LATHI (ꦭꦛꦶ),Weird Genius,1574
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,1575
2rdcqS9cMomMCHqtX3v7hM,認真如初,Jason Chan,1576
6DoL1yYIwEW7VZMRaJhoJI,La Llevo Al Cielo (Ft. Ñengo Flow),Chris Jedi,1577
3NanY0K4okhIQzL33U5Ad8,Boy's a liar,PinkPantheress,1578
6Q3K9gVUZRMZqZKrXovbM2,I'll Wait,Kygo,1579
5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,Mc Don Juan,1580
14BG5B1EJSCyNpZt096xXc,"Patawad, Paalam",Moira Dela Torre,1581
5BwQjRasNcdRPuVWKcHto2,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole,1582
3apeXzypBMnUfYcZYNX6DH,I CAN'T STOP ME,TWICE,1583
3tMbwbZpYXGHeg0l45m7Tv,Good Luck feat. Maiyarap,Lipta,1584
6dmXZ9B5HdFAyzHeTneYBK,LA FAMA (with The Weeknd),ROSALÍA,1585
2S93hylQBYLndMnaJuso8S,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,1586
2MHibR4RkeGXkSvnVcTj13,"I'm Fine, Thx.",Serrini,1587
6Yard5LK4aXEn0kBKtHSob,Se Fue La Pantera (En Vivo),Grupo Firme,1588
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),Metro Boomin,1589
3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),Taylor Swift,1590
3zIG0WuI5RoJsFYnErkFDU,Don't Leave Me,BTS,1591
0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,Henrique & Juliano,1592
2EEmzqzM70CybVspgM7YRT,La Boca - Remix,Mau y Ricky,1593
35COLcFjvONwVv6jkG23gI,Boys Don't Cry,Anitta,1594
2WL6GQzPuK9Nrpy9XwNEbz,Something In The Way - Remastered,Nirvana,1595
0OWcpVA83HI8Pb5DybDuoX,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Neo Pistea,1596
4E6RdcCWMiHTu7zy1VTNDo,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,1597
0R7DSnSibvuE4PEHqUayqf,Es un Secreto,Plan B,1598
4YF13O2n16dcTyGgVmiGvN,Llorar y Llorar - con Carin Leon,Mau y Ricky,1599
06sDxr7MbbwFyTP1f6rvvl,E先生 連環不幸事件,Edan 呂爵安,1600
